
1664691446.dat<>【画像】中&#9608;&#9608;子さん、インスタに平成ギャル姿の画像をアップロード。ネット上で大反響  [511335184] (445)
1664704656.dat<>立憲の本多平直追放騒動って結局なんだったの？  [932029429] (13)
1664704837.dat<>アイス・バケツ・チャレンジで集めた資金で開発されたALS新薬が承認される  [955949967] (23)
1664694181.dat<>出生率０．８１の韓国から日本が学ぶべきこと「首都圏一極集中するほど出生率が落ちる」  [792147417] (404)
1664700908.dat<>仕事から帰ったら一人反省会おじさん、うつ病だったことが判明…  [905624304] (25)
1664693091.dat<>【速報】今夜17:00&#65374;新作ガンダム「機動戦士ガンダム魔女たぬき」放映開始。アニメじゃない  [618199789] (246)
1664676072.dat<>胎内回帰願望男子、およびスカルファッカーに朗報！ヒロインが8メートルの巨女の漫画、「ちえりの恋は8メートル」、ジャンプで連載開始！  [425612722] (43)
1664689157.dat<>オリーブオイル、売ってる1割しか本物ないって嘘やろ…？  [901654321] (277)
1664703968.dat<>【悲報】台湾の超人気芸能人たち、中国の国慶節を祝う。「台湾は中国の一部！」  [271912485] (32)
1664662302.dat<>九州で地震あってもスレが伸びない現象&#128546;&#128557;&#128166;  [805238285] (29)
1664669487.dat<>日曜討論 大石あきこ vs 萩生田  [547879162] (578)
1664521220.dat<>【嫌儲ウォッチパーティ部】AmazonPrimeVideoでビデオ鑑賞  [225062998] (96)
1664687675.dat<>ネットで異常に有名な神奈川県田奈高校廃校へ&#128557;オール１の子はどこへ行けば&#128552;  [805238285] (61)
1664668837.dat<>表現の自由戦士さん、フェミに敗北&#12288;石川優実の表現を著作権法で止めさせようとした訴訟で敗訴  [492515557] (62)
1664703552.dat<>「便所のタワシで歯を磨く」「精液をかけたメシを食わされる」ゴマキの弟・後藤祐樹さんが語る刑務所での壮絶なイジメ  [566475398] (54)
1664705366.dat<>さっきキャバクラで安倍政権の卑劣さを２時間ぐらい話してきた。嬢もニコニコして相づち打ってたから理解してくれたでしょ  [776622462] (2)
1664668319.dat<>【gif】犬、エレベーターのドアが開いて０・４秒でとんでもない行動を起こしてしまうww  [814293273] (297)
1664702109.dat<>デーブ・スペクター｢太田さんは発言するならもっと勉強したら？w昨日の報道特集は見ましたか？｣太田｢み、み、見てないけど！(苦笑)｣  [814293273] (31)
1664704946.dat<>日本政治学会、安倍に楯突く！&#12288;学術会議の任命から外された宇野教授を新しい理事長に選任  [492515557] (4)
1664598245.dat<>橋下徹さん、詭弁&#12288;「暴力団員が犯罪してもいきなり解散させられない」&#12288;弁護士「暴力団に解散命令はない」  [492515557] (781)
1664693201.dat<>｢魚が獲れない｣日本だけだった  [402859164] (309)
1664703481.dat<>【正論】萩生田政調会長「安倍さんはすでに亡くなっており反論の機会がない。事実関係を正しく調査するには限界がある」  [723267547] (28)
1664536365.dat<>トヨタ社長が明言「EV普及には長い時間を要するだろう」  [399259198] (1002)
1664694360.dat<>風俗嬢「風俗嬢＝バカって考えやめな。今は大卒とか昼職掛け持ちの嬢は沢山いる、少なくともお前らより学歴あるよ」  [438628431] (578)
1664698494.dat<>紫雲院が復活するときに流れてそうな曲  [814467836] (32)
1664588970.dat<>【嫌儲ケーコジ部 】iPhone8  [694987195] (34)
1664671732.dat<>建築家・隈研吾さんの新作「震災伝承施設・南三陸311メモリアル」がオープン  [485983549] (432)
1664684832.dat<>【画像】（ヽ´ん`）「個別株なんてギャンブル、積立NISAで分散投資するのが賢い」  [881878332] (73)
1664703041.dat<>【訃報】母親の遺体を自宅に放置か。山口・下関で48歳無職男を逮捕  [339885996] (29)
1664665753.dat<>ロシアさん、リマン撤退会議を1週間前に始めていたが速攻でハイマースアタックを喰らい頓挫した模様  [427211404] (454)
1664685477.dat<>ロードバイクを盗んだ犯人、犯人探しを呼びかけられる中でTwitterでロードバイク売り出すも速攻でバレて被害者につるし上げられる  [931948549] (535)
1664682623.dat<>【速報】100円ショップで買ってはいけない『NGアイテム』5選 ケンモメンは買ってないよな？  [633829778] (165)
1664696861.dat<>大成建設『給電道路』実証実験開始！！EVなら走りながら充電出来る様になるぞ！  [237216734] (56)
1664699601.dat<>【画像】最新の佳子様、バリかわいい&#128165;&#128165;&#128165;  [632966346] (116)
1664681800.dat<>【無能朗報】密かなブーム“石ころ拾い”_海辺や川原で「いい感じの石ころ」探し  [979264442] (262)
1664704944.dat<>【悲報】人気シンガー・ソングライター_大麻オイルで幻聴「誰もいないのに声が聞こえた」  [979264442] (9)
1664621726.dat<>【緊急正論】山本太郎「立憲や共産は国会で国葬や統一協会の話。いい加減にしろ！国民の生活や経済問題の時間を削るな！」  [127398796] (267)
